Source,Concentration,LOD,Type of Sample,Units,Type of Measure,Chemical,Role/Location,Sampling method
LeBouf,Below LOD,0.19,Mobile-area,ug/m^3,geomean,o-xylene,Surgical technologist,
LeBouf,0.33,NA,Personal,ug/m^3,geomean,o-xylene,Endoscopy technician,
LeBouf,Below LOD,0.19,Mobile-area,ug/m^3,geomean,o-xylene,Endoscopy technician,
LeBouf,3.9,NA,Personal,ug/m^3,geomean,o-xylene,Clinical laboratory technician,
LeBouf,2.9,NA,Mobile-area,ug/m^3,geomean,o-xylene,Clinical laboratory technician,
LeBouf,Below LOD,0.19,Personal,ug/m^3,geomean,o-xylene,Medical appliance technician,
LeBouf,7,NA,Mobile-area,ug/m^3,geomean,o-xylene,Medical appliance technician,
LeBouf,Below LOD,0.19,Personal,ug/m^3,geomean,o-xylene,Dental laboratory technician,
LeBouf,Below LOD,0.19,Mobile-area,ug/m^3,geomean,o-xylene,Dental laboratory technician,
Chen,0.23,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,0.83,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,0.17,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,0.16,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,0.34,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,1.6,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,1,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
Chen,2.1,NA,Personal,ug/m^3,geomean,ortho-pthlalaldehyde (OPA),Employees working in areas with OPA in healthcare,
