1st Author,Title,Frequency Measure,Categories,Type of Outcome,Type of outcome 2,Outcomev2,Outcome,Outcome 2,Value of Outcome,95% CI Lower,95% CI Upper
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,Never or less than 5 years,Adjusted HR,HR,Asthma,Asthma incidence,Asthma,1,1,1
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,No current use,Adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.48,1.01,2.15
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,Current use o 1 HLD,Adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.22,0.75,1.99
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,Current use of 2 or more HLDs,Adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.77,0.91,3.45
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration,Never or <1 year,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1,1,1
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration,1-5 years,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,0.96,0.73,1.28
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration,>5 years,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.38,1.03,1.85
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration,Never or less than 5 years,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1,1,1
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration,>5 years,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.39,1.04,1.86
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,Never or less than 5 years,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1,1,1
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,No current use,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.46,1,2.12
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,Current use o 1 HLD,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.17,0.72,1.92
Dumas,Occupational use of high-level disinfectants and asthma incidence in early-to-mid career female nurses: a prospective cohort stud,HLD use duration & # of HLDs currently used,Current use of 2 or more HLDs,Multivar-adjusted HR,HR,Asthma,Asthma incidence,Asthma,1.72,0.88,3.34
Arif,Occupational exposures and asthma among nursing professionals,Patient care C&D,No,Unadjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1,1,1
Arif,Occupational exposures and asthma among nursing professionals,Patient care C&D,Yes,Unadjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,0.62,0.28,1.4
Arif,Occupational exposures and asthma among nursing professionals,Instrument C&D,No,Unadjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1,1,1
Arif,Occupational exposures and asthma among nursing professionals,Instrument C&D,Yes,Unadjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1.31,1,1.7
Arif,Occupational exposures and asthma among nursing professionals,Building surface C&D,No,Unadjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1,1,1
Arif,Occupational exposures and asthma among nursing professionals,Building surface C&D,Yes,Unadjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1.94,1.46,2.58
Arif,Occupational exposures and asthma among nursing professionals,Patient care C&D,No,Adjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1,1,1
Arif,Occupational exposures and asthma among nursing professionals,Patient care C&D,Yes,Adjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,0.69,0.26,1.83
Arif,Occupational exposures and asthma among nursing professionals,Instrument C&D,No,Adjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1,1,1
Arif,Occupational exposures and asthma among nursing professionals,Instrument C&D,Yes,Adjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1.27,0.94,1.73
Arif,Occupational exposures and asthma among nursing professionals,Building surface C&D,No,Adjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1,1,1
Arif,Occupational exposures and asthma among nursing professionals,Building surface C&D,Yes,Adjusted OR,OR,BHR related symptoms,BHR related symptoms,BHR,1.57,1.11,2.21
