Timestamp,Who is extracting data?,Title of Article,1st Author Last Name,Year of Publication,Journal,"Country of Healthcare Worker Data (If not provided, type NA)",What types of healthcare worker roles were included?,What was the type of healthcare facility?,Does it address cleaning and disinfection activities posing asthma risks to workers?,Does it address measurements (frequency and/or concentration) of cleaning/disinfection exposures during cleaning and disinfection in healthcare environments? (or animal studies),Does it capture asthma rates among healthcare workers with cleaning and disinfection activities as a potential risk factor?,Does the article address concentration of an exposure to cleaning and disinfection?,Describe the methods used.,What were the findings?,Does the article address frequency of cleaning and disinfection activity?,Describe the relationship (capture big picture and mention if quantitative data are available),"Were there differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rates as a a function of concentration of the exposure?,Describe the relationship.,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rate as a function of frequency of cleaning and disinfection activity?,Describe the relationship,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include types of chemical products?,"If so, please list the products or chemical types that are mentioned.",Were differences in exposure or asthma across different chemical types mentioned/described?,"Does the article include the phrase, ""dose-response""?",Notes on dose-response related concepts,Does the article address the number of years working in healthcare industry before asthma symptom onset?,What summary statistics on latency are provided? Please provide the summary statistics.,Does the article address the number of years working in the healthcare industry and asthma rates outcome among participants?,What was the relationship between # of years working in healthcare and asthma rates?,"Does the article include the term, ""latency""?",Notes on latency related concepts,Does the article include details regarding asthma outcome diagnosis?,How was asthma diagnosed or measured?,Does the article include details regarding the use of a diagnostic measurement?,What diagnostic measurement was used?,Does the article include details regarding the use of a questionnaire tool to measure asthma?,What questionnaire tool(s) was (were) used? Were the tools validated?,Does the article include details regarding self-reporting of physician diagnosed asthma?,How was the self reporting conducted?,Does the article include asthma rates or rate of another asthma outcome among healthcare workers?,What were the findings?,"Were differences across healthcare worker role or task described? If so, describe.",Notes on asthma diagnosis and/or reported rates.
2022/04/07 2:17:05 PM MDT,Amanda,Occupational asthma due to glutaraldehyde and formaldehyde in endoscopy and x ray departments,Gannon,1995,Thorax,UK,Not specified,endoscopy and x ray departments,Yes,Yes,No,Yes,"""personal and static short and longer term air samples""

""samples were collected over a period of 20 minutes or less, the sampling period being determined by the time required for the operator to complete the pertinent tasks, typically 10-15 minutes. Long term samples were collected over sampling periods ranging from 34 to 120 minutes during a theatre list when exposure was intermittent. During the list the operator usually assisted with the endoscopy procedure, returning to the disinfection area between patients to clean and disinfect the endoscopes. Static air samples were collected in x ray darkrooms over periods ranging from 25 to 140 minutes. Personal samples were also collected during simulated bronchial challenge when volunteers wearing respiratory protective equipment duplicated the standardised test procedures described above. Air samples were collected by drawing air at 1 1/min through glass fibre filters impregnated with 2,4-dinitrophenylhydrazine and phosphoric acid. 14 The glutaraldehyde content of the filters was subsequently quantified by high performance liquid chromatography.""
","""The mean level of glutaraldehyde in air during the challenge tests was 0-068 mg/m3, about
one tenth of the short term occupational exposure standard of0 7 mg/m3. The levels
obtained in the challenge chamber were similar to those measured in 13 endoscopy suites and six x ray darkrooms where median short term levels were 0-16 mg/m3 during decantation in endoscopy suites and <0_009 mg/m3 in darkrooms.""
",No,,,No,,,No,,,Yes,glutaraldehyde,No,No,,Yes,Table 1 has a column - ranges from 6 months to 23 years,No,,No,"Does use word ""latent"" to describe reaction after exposure - ""latent interval""",Yes,"serial peak expiratory flow measurements, bronchial provocation tests, FEV1, ""Occupational asthma due to glutaraldehyde was also diagnosed if exposure to low levels of glutaraldehyde during controlled specific bronchial challenge tests resulted in a 15% or more fall in FEV1 compared with values at a similar time following saline challenge.""
",Yes,bronchial challenge tests,No,,Yes,reported pre-existing asthma,No,,,
2022/04/07 2:43:46 PM MDT,Amanda,Quaternary ammonium compounds and occupational asthma,Purohit,2000,International Archives of Occupational and Environmental Health,France,"medical, surgical, and paediatric nurse",hospital,Yes,No,No,No,,,Yes,"In case 1, exposures lasting for 30 min with 30 min gap between exposures - at end of second exposure, wheezes heard - hours later, symptoms progress",,No,,,No,,,Yes,benzalkonium chloride,No,No,,No,,Yes,"the 3 cases had been working in healthcare for 3, 10, and 7 years",No,,Yes,"skin prick test, peak flow measurements, clinical and radiological examinations, blood tests, pulmonary function tests",Yes,"skin prick test, peak flow measurements, clinical and radiological examinations, blood tests, pulmonary function tests",No,,No,,No,,,
2022/04/07 2:59:53 PM MDT,Amanda,Evidence-based decision making in an endoscopy nurse with respiratory symptoms exposed to the new ortho-phthalaldehyde (OPA) disinfectant,Franchi,2005,Occupational Medicine,NA,nurse,"ear, nose, and throat day clinic",Yes,Yes,No,No,,,Yes,"""Her work involved exposure to 0.55% OPA solution during endoscope disinfection by immersion in an open plastic tray in a small room with poor ventilation. The personal exposure to OPA was estimated at 5–10 min per endoscope and 10 endoscopes per day for 3 days a week""",,No,,,No,,,Yes,cidex ortho-phthalaldehyde (OPA),No,No,,No,,Yes,worked in healthcare for 3 years,Yes,"Table 1 - includes evaluation of latency as part of ""clinical suspicion index for OA""",Yes,evidence-based investigation - PICO model,Yes,PEF monitoring,Yes,"Doesn't describe details, but mentions it as part of EB decision-making process for suspected OA",No,,No,,,
2022/04/07 3:13:02 PM MDT,Amanda,Exposure to substances in the workplace and new-onset asthma: an international prospective population-based study (ECRHS-II),Kogevinas,2007,The Lancet,International,nurses and cleaners,not specified,Yes,No,Yes,No,,,No,,,No,,,No,,,Yes,"high molecular weight, low molecular weight, mixed exposures, and not exposed",Yes,No,,No,,No,,No,,Yes,asthma-specific job exposure matrix with additional expert judgement and self-reported acute inhalation events,Yes,bronchial hyper-reactivity by methachoilne challenge,Yes,ECRPHS-II questionnaire,No,,Yes,"14/291 (4.8%); relative risk of 2.22(1.25-3.96) relative to reference group (professional, clerical, and administrative occupations); 12/358 (2.6%) for cleaning and caretaking, relative risk of 1.71 (0.92-3.17)",not among healthcare worker role but comparisons across occupational groups in table 3,
2022/04/07 3:25:38 PM MDT,Amanda,Irritant vocal cord dysfunction and occupational bronchial asthma: Differential diagnosis in a health care worker,Tonini,2009,International Journal of Occupational Medicine and Environmental Health,Italy,nurse,endoscopy,Yes,No,No,No,,,Yes,40/50 washes per day for cleaning cycle,,No,,,No,,,Yes,"peracetic acid, sodium hypochlorite, formaldehyde, glutaraldehyde, isopropylic alcohol",No,No,,Yes,moved units and symptoms onset after 1 week,No,,Yes,"In discussion describes: ""Many irritants in the workplace are known to cause occupational rhinitis, and the lower airways can become hyperreactive after irritant exposure, leading to occupational asthma without latency period.""",Yes,"blood and urine tests, chest radiology, spirometric test, emogas analysis",Yes,"radiography, spirometric test, emogas analysis, evaluation of the alveolo/capillary diffusion capacity",No,,No,,No,,,
2022/04/07 3:41:11 PM MDT,Amanda,Occupational rhinitis and asthma due to EDTA-containing detergents or disinfectants,Laborde-Casterot,2012,American Journal of Industrial Medicine,France,cleaners and healthcare professionals,,Yes,No,No,Yes,Asked about EDTA concentration used in a challenge test and number of those who reacted,Table 1 shows EDTA % in products and EDTA conc used in NPT by positive or negative EDTA-NPT,No,,,No,,,No,,,Yes,ethylenediamine tetraacetic acid (EDTA) sodium salts in detergents or disinfectants,No,No,,No,,No,,No,,Yes,"nasal provocation tests, pulmonary function test and global obstructive syndrome, and/or non-specific bronchial hyperreactivity recorded",Yes,"""Pulmonary function tests were performed in all patients and the presence of a global obstructive syndrome, a distal obstructive syndrome, and/or non-specific bronchial hyperreactivity (NSBHR) was recorded. Global obstructive syndrome, distal obstructive syndrome and NSBHR were respectively defined as: (1) forced expiratory volume in 1 s (FEV1)/forced vital capacity (FVC) < 70%; (2) midrespiratory flow between 25% and 75% of FVC (MEF25–75) < 70%; and (3) a decrease in FEV1 of at least 20% for a cumulative dose of methacholine of 1,600 mg or less",No,,Yes,"Just says ""history of asthma"" reported by some participants",Yes,Table 1 shows EDTA NPT positive patients vs non positive.,,
2022/04/07 3:55:51 PM MDT,Amanda,Allergy to ortho-phthalaldehyde in the healthcare setting: advice for clinicians,Pala,2013,Expert Review of Clinical Immunology,NA,describes nurse in one section,endoscopy,Yes,Yes,No,Yes,Describes percentages of OPA used; mouse study described with specific concentrations; concentrations described in in vivo and in vitro section as well; described in env context,"""Sokol prick-tested four patients and five volunteer control subjects with OPA 5.5 mg/ml, and results were interpreted at 20 min and 24
h [19] . All four patients developed both an itchy wheal and flare reaction within 20 min after the OPA test, and a late-phase reaction,
which continued to progress for 24 h, showing an average induration of 56.3 mm described as swollen, hot, tense and hard. All
controls showed negative reactions to OPA skin testing. In view of the large reactions on skin-prick testing in the four patients, the
authors recommended that lower concentrations of OPA should be used in skin testing with OPA (i.e., 0.55 or 0.055 mg/ml). In the
two patients with anaphylaxis following cystoscopy, Joshi and Rosenfeld [20] reported positive prick tests for OPA in serum albumin at
1:10,000 dilution.""

""The study conducted by Miyajima et al. also considered the OPA concentration in the different scenarios found in 17 endoscopy
disinfection rooms (i.e., manual disinfection rooms in which workers used immersion vats for endoscope disinfection, and automatic
disinfection rooms in which automatic washers were used) [30] . As expected, they observed that OPA exposure concentrations
during the disinfection process of endoscopes was significantly higher in the manual group (median: 1.43 ppb; range: not detected
[ND]-5.37 ppb) than in the automatic group (median: 0.35 ppb; range: ND-0.69 ppb). Similarly, during charging and discharging of the
antiseptic solution, OPA levels were significantly higher in the manual group (median: 2.58 ppb; range: 0.92-10.0 ppb) than in the
automatic group (median: 0.46 ppb; range: ND-1.35 ppb). Time-weighted averages of OPA exposure concentration during work shifts
were 0.33-1.15 ppb (median: 0.66 ppb) in the manual group and 0.13-1.28 ppb (median: 0.33 ppb) in the automatic group, which
suggests that manual workers are exposed to higher levels of OPA.""",No,,,No,,,No,,,Yes,OPA,No,Yes,This is a good article for dose-response discussion,Yes,Switch from GA to OPA for 2 years before 1st reaction,No,,No,,No,,No,,No,,No,,No,,,Discusses diagnoses of things other than asthma
2022/04/20 8:03:27 PM MDT,Tina,Occupational risk factors for work-related asthma outcomes in health workers exposed to diverse cleaning agents,Mwanga,2020,Allergy: European Journal of Allergy and Clinical Immunology ,South Africa,NA,Hospital,Yes,No,Yes,No,,,No,,,No,NA,NA,No,NA,NA,Yes,"ortho-phthalaldehyde (OPA), glutaraldehyde, quaternary ammonium compounds (QAC), alcohol, bleach, and enzymatic cleaners",Yes,Yes,"A dose-response relationship was observed between work-related ocular-nasal symptoms and certain chemicals such as OPA, glutaraldehyde, QAC, enzymatic cleaners, alcohols and bleach (OR range: 2.50-12.08) and disinfection tasks such as changing sterilisation solutions and manual disinfection of medical instruments (OR range: 2.58-3.97).",No,,No,,No,NA,No,,No,,Yes,"Standardised ECRHS questionnaire adapted for occupational contexts; immunological tests (Phadiatop; specific IgE for natural rubber latex-NRL, OPA and chlorhexidine); spirometry (bronchodilator response); methacholine challenge and fractional exhaled nitric oxide (FeNO).",No,,Yes,"The prevalence of current asthma was 10% (atopic 6%, non-atopic 4%), while overall 2% of HWs had WRA",NA,"Atopy was present in 43% of HWs, with 4% being sensitised to OPA, 2% to NRL and 1% to chlorhexidine."
2022/04/22 2:55:32 PM MDT,Olusola,Clustering asthma symptoms and cleaning and disinfecting activities and evaluating their associations among healthcare workers,Su,2019,International Journal of Hygiene and Environmental Health,USA,"Central supply workers, dental assistants, environmental service workers or housekeepers, medical or clinical laboratory technicians, licensed practical nurses, nursing assistants,
operating room technicians, registered nurses, and respiratory therapists or technicians.","""Healthcare workers who were members of the Service Employees International Union Local 1199 who worked in hospitals or nursing homes in New York City. (Materials & methods, pg 874)""",Yes,Yes,Yes,Yes,"""14 cleaning and disinfecting product application variables were combinations of tasks and product-use. Total VOC (TVOC) exposures for participants who performed these 14 product application tasks was used as proxy for exposure to CDAs. (Materials & methods, page 876). 

For exposure clusters (ECs), distributions of frequency-weighted TVOC exposures were calculated. (Materials& methods, pg 876).""","Exposure cluster 2 (EC-2) had the lowest means and medians of frequency-weighted scores for both TVOV14 and TVOC11 among all Ecs. (Results, pg 878).

EC-5 had the highest means and medians of frequency-weighted scores for TVOC14 and TVOC11 among all ECs. Extremely high values of TVOC exposures were observed in upper percentiles (e.g., the 95th percentile). (Results, pg 878).

Participants in the “no products” cluster (EC-1) had few positive responses to product application variables that resulted in low estimated TVOC exposures. Nurses were the
most common occupations across all ECs. Among five ECs, participants in the “disinfecting” cluster (EC-5) had the highest concentrations for TVOC exposures.  (Discussion, pg 881). 

TVOC 14 and 11 were low for the EC-2 cluster that comprised mostly housekeepers.. (Discussion, pg 881).

More results on Table 2 (pg 877).",No,,,No,NA,"""In EC-1 (n=630), 66.5% of the participants were nursing assistants, and 59.7% of the participants worked in nursing homes. (Results, 878).

For EC-2, more than 65% of the participants were environmental service workers or housekeepers. (Results, pg 878).

Licensed practical nurses or licensed vocational nurses, and registered nurses accounted
for more than 70% of the total EC-3 participants. (Results, pg 878).

Additionally, 51 out of 75 respiratory therapists or respiratory technicians were included
in EC-3. (Results, pg 878).

Nursing assistants and lab technicians accounted for about 60% of the participants in EC-4. (Results, pg 878).

About 50% of the participants in EC-5 were nursing assistants, licensed practical nurses or licensed vocational nurses, and central supply workers. (Results, pg 878).

EC-5 also had the highest percentage of the participants working in hospitals (72.7%). (Results, pg 878).""",No,NA,No,Yes,"Alcohols, chlorine bleach, enzymes, formaldehyde, detergents, floor wax stripper, glass cleaners, phenolics, quaternary ammonium compounds (quats), skin-wipes used on patients, clinical or medical laboratory products, aerosolized medications, and dental products.",Yes,No,NA,No,,No,,No,NA,Yes,"An asthma score was calculated as the sum of the positive responses to the following questions on symptoms in the last 12 months (yes=1, no=0; scores ranged from 0 to 5): breathless when wheezing, woken up with tightness in chest, daytime SOB at rest, SOB
following strenuous activity, and woken by SOB. The asthma score was developed and validated by the European Community Respiratory Health Survey researchers as a measure of asthma severity. (Materials&methods, pg 874).",No,,Yes,"The asthma score was developed and validated by the European Community Respiratory
Health Survey researchers as a measure of asthma severity. (Materials&methods, pg 874).",Yes,"""Physician-diagnosed asthma was defined as a positive response to all of the following criteria: ever had asthma, ever had an episode of asthma symptoms, and asthma confirmed by a physician. (Materials&methods, pg 874).""",Yes,"Allergic status had significant associations with all HCs, especially the “undiagnosed/untreated asthma” cluster (OR=9.40, 95% CI=4.54–19.4, p-value<0.001) and “asthma attacks/exacerbations” cluster (OR=12.7, 95% CI=6.05–26.7, pvalue< 0.001). (Results, page 879).""",No,"Mostly on Table 1, pg 875."
2022/04/22 3:06:23 PM MDT,Olusola,Evaluation Work-related Asthma Frequency and Determinants in Hospital Cleaners,Ecin,2019,Turkish Thoracic Journal,Turkey,Professional cleaners working at Hacettepe University Hospitals,Hacettepe University hospitals,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,No,NA,No,No,NA,No,,No,,No,NA,Yes,Authors carried out interviews and pulmonary function test,No,,No,,Yes,Through interview,Yes,Work-related asthma (WRA) was 6.1% in cleaners. Study found significant relation between WRA and female gender (OR=4.5) and allergic rhinitis (OR=8.3) and significantly higher level of usage of cleaning products at home (p=0.026).,No,"Number of participants with wheezing within last 12 months or history of physician diagnosed asthma or history of asthma medication prescribed within last 12 months are 40 (%14.4). Of those 40 cleaners, 23 (8.2%) didn’t have symptoms aggravated in workplace. Remaining 17 (6.1%) participants were grouped as WRA. For seven participants whose serial PEF measurements analyzed to calculate variability, mean PEF variability of workers were 20.6% and 20.4% for work days and days away from work respectively.

In our study we detected WRA prevalence as 6.1% in cleaners. We found significant relation between WRA and female gender (OR=4.5) and allergic rhinitis (OR=8.3) and significantly higher level of usage of cleaning products at home (p=0.026). Besides compliance issues, relatively long follow-up period (three weeks), unwillingness of participants to carry PEFmeter between home and work, varying workload, heterogenity of education level of participants may affect scarcity of PEFmeter follow-ups meeting specified criteria. To conclude, we detected work-related asthma symptoms and pulmonary function test abnormalities in hospital cleaners. 

The paper is a conference abstract"
2022/04/22 3:19:26 PM MDT,Olusola,"Cleaning agent occupational asthma in the West Midlands, UK: 2000–16",Walters,2018,Occupational Medicine,UK,Study not based on health workers,Study not based on health facilities. Data were extracted from a database.  Data was extracted from a Microsoft Excel clinical database of all patients seen clinically and diagnosed with OA at Birmingham Regional NHS Occupational Lung Disease Service.,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"Reported agents are chloramines (25, 31%), glutaraldehyde (21, 26%), chlorine (4, 5%), quaternary ammonium compounds (9, 11%), isothiazolinones (3, 4%), peracetic acid (2, 3%), cleaning agent unspecified (10, 13%), sodium hydroxide (1, 1%), alcohol degreaser (1, 1%), denatonium (1, 1%), ethylene diamine (1, 1%), ethylenediaminetetraacetic acid (EDTA) (1, 1%) and triclosan (1, 1%).",No,No,NA,Yes,"Cleaning agent occupational asthma (OA) was diagnosed predominantly de novo (76%) in female workers (77%), with a variable latency (1–348 months, mean = 73). Further details are on table 1, pg 532.",No,,Yes,"Pre-existing childhood or adult asthma, and diagnostic data were gathered on (i) latency of exposure to symptom onset. 

Cleaning agent OA was diagnosed predominantly de novo (76%) in female workers (77%), with a variable latency (1–348 months, mean = 73).",Yes,"""A clinical diagnosis of occupational asthma (OA) is made on the balance of probabilities
(i.e. when more likely than not), and all patients exhibit asthma with a history showing work-relatedness. For the majority of patients seen at the unit, diagnosis is also confirmed by objective tests (70% by OASYS [Occupational Asthma SYStem] analysis of serial peak
flow measurements and 11% by specific inhalation challenge [SIC] tests)""",No,,No,,No,,No,,,NA
2022/04/22 3:27:16 PM MDT,Olusola,Opportunities and obstacles in translating evidence to policy in occupational asthma,Tarlo,2018,Annals of Epidemiology,NA,NA,NA,No,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"Common ingredients of cleaning and disinfecting products include as chlorine bleach, ammonia solutions, peracetic acid, and peroxyacetic acid.",No,No,NA,No,,No,,Yes,"""High-level accidental exposures to irritant gases can induce OA without latency, commonly called reactive airways dysfunction syndrome.""",No,,No,,No,,No,,No,,,NA
2022/04/22 3:34:41 PM MDT,Olusola,The Long-Term Effects of Cleaning on the Lungs,Cummings,2018,American Journal of Respiratory and Critical Care Medicine,NA,,Not specified. This article is an editorial,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,No,NA,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"At baseline, the study population was relatively young and healthy, with a mean age of 34 years, doctor-diagnosed asthma prevalence of 6%, and mean spirometric parameters exceeding 100% of predicted.

This is an editorial. Not a research paper"
2022/04/22 3:45:14 PM MDT,Olusola,"EXPOSURE TO ALDEHYDES AMONG HEALTH CARE WORKERS IN A LARGE TERTIARY HOSPITAL IN CAPE TOWN, SOUTH AFRICA",Mwanga,2018,Occup Environ Med,South Africa,17 different clinical departments including gastrointestinal unit.,Tertiary hospital,No,Yes,No,Yes,"A total of 269 full-shift passive personal samples were collected from HCWs randomly selected from 17 different clinical departments in a tertiary hospital. Passive sampling
used TraceAir AT580 monitors (Assay Technology, Livermore, CA), which were analysed for ortho-phthalaldehyde (OPA) and formaldehyde.","OPA was detectable in 6 (2%) samples from gastrointestinal (GI) unit, with a median of 0.009 ppm (range: 0.005–0.027). HCWs with detectable OPA levels had a longer duration
of OPA use (OR=1.28; 95% CI: 1.10 to 1.50). Formaldehyde was detectable in 103 (38%) samples with a median of 0.004 ppm (range: 0.003–0.027). Three (1%) samples had formaldehyde levels higher than the NIOSH recommended exposure limit (REL) of 0.016 ppm time-weighted average.",No,,,No,NA,No,No,NA,No,Yes,ortho-phthalaldehyde (OPA) and formaldehyde,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an abstract, not a full paper"
2022/04/25 1:34:40 AM MDT,Olusola,HEALTH HAZARDS IN VETERINARY CARE,Rogers,2018,BMJ,USA,Veterinary health care workers,Veterinary health care,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,No,NA,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an abstract, not a full paper"
2022/04/25 1:41:14 AM MDT,Olusola,PREVALENCE OF ALLERGY RELATED SKIN AND RESPIRATORY DISEASES AMONG HEALTHCARE WORKERS IN CROATIA,Knezevic,2018,BMJ,Croatia,Nurses and physicians,Clinical hospitals,No,No,No,No,,,No,,,No,NA,No,No,NA,No,No,NA,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an abstract, not a full paper"
2022/04/25 1:50:05 AM MDT,Olusola,Co-exposure to antimicrobial chemicals augments IgE mediated immune responses,Shane,NA,J ALLERGY CLIN IMMUNOL,NA,NA,NA,Yes,No,No,Yes,"BALB/C mice were exposed to OPA(0.5%) on the dorsal ear surface for 3-days, rested, then exposed to DDAC (0.0625, 0.125, 0.25%) for 14-days. Vehicle, OPA-only, and DDAC-only (0.25%) controls were included for all studies. Body weight and ear thickness were monitored, and 1-day following final exposure markers of allergic disease were assessed by RT-PCR and flow cytometry in the draining lymph-node (dLN); total IgE (serum) was measured by ELISA.","Animals sensitized to OPA prior to DDAC exposure (0.25%) exhibited increased irritation and weight loss (;-5% v.;0%) compared to DDAC-only controls. The co-exposed mice also had enhanced Th2 responses, including significant (p < 0.05) alterations in: dLN Il4 (increased, all doses), B-cell activation (increased, all doses), CD8 T-cell activation (decreased, all doses), and increases in local (0.0625% and 0.125%), and systemic IgE production (0.125% and 0.25%).",No,,,No,NA,No,No,NA,No,Yes,"quaternary
ammonium compound (QAC) didecyldimethlyammonium chloride
(DDAC) and Ortho-phthalaldehyde (OPA).",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an abstract, not a full paper"
2022/04/25 1:57:54 AM MDT,Olusola,Case Series of Occupational Asthma in Health-Care Workers Diagnosed at a Tertiary Referral Clinic,Kam,2017,CHEST,NA,"Nurses, pathologists, laboratory technicians",Tertiary and referral centre,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"Ortho-phthalaldehyde, formaldehyde, and glutaraldehyde",No,No,NA,Yes,"All 5 were female and non-smokers. The median age at presentation was 42 years (range 32-47). The median duration
in their occupation was 24 months (range 24-240). Median length of exposure and median duration of symptoms prior to
presentation were 24 months (range 1-228) and 12 months (range 4-60) respectively.",No,,No,NA,Yes,"No details but the abstract states that registry of patients who were confirmed to have occupational asthma (OA) in a single centre occupational lung clinic at a tertiary hospital
and referral centre from 1996 to 2016 were reviewed.",No,,No,,No,,Yes,"The article is a case series of 5 health workers that contracted asthma at work
","Of the 5 health workers with asthma, 3 were nurses, 1 pathologist and 1 laboratory technician","NA

This is an abstract, not a full paper"
2022/04/25 2:07:23 AM MDT,Olusola,The Editor takes a closer look at some of this month’s articles,Gonzalez,2014,Clinical & Experimental Allergy,NA,NA,NA,No,No,No,No,,,No,,,No,NA,No,Yes,"They found a 7.5-fold
increase in the incidence of asthma and a 3.2-fold increase in the incidence
of rhinitis in healthcare workers exposed to QACs with the highest
risk associated with dilution of disinfectants. No link was found to
other potential agents, and the risk was not associated with increased
IgE to QACs.",No,Yes,QAC,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an editorial, not an article"
2022/04/25 2:14:04 AM MDT,Olusola,Agents and trends in health care workers’ occupational asthma,Walters,2013,Occupational Medicine,UK,"Nurses, operating theatre staff, endoscopy staff and radiology staff",NA,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"Glutaraldehyde, cleaning products, Acrylates, formaldehydes",Yes,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This article is a short report."
2022/04/25 2:17:27 AM MDT,Olusola,RELEVANCE OF EXPOSURE TO CLEANING AGENTS BEYOND CLEANING PROFESSIONALS: PRIVATE HOMES AND HEALTHCARE WORKERS,Moual,2013,BMJ,France,NA,NA,No,No,No,No,,,No,,,No,NA,No,No,NA,No,No,NA,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an abstract, not a full paper"
2022/04/25 2:30:18 AM MDT,Olusola,Aetiology and trends in healthcare workers' occupational asthma,Walters,2013,"European Respiratory Journal
",UK,NA,"Nurses, operating theatre staff, endoscopy staff and radiology staff",Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"This is an abstract. Did not provide details, but mentioned: glutaraldehyde and cleaning products",Yes,No,NA,No,,No,,No,NA,No,,No,,No,,No,,Yes,"The article reported 182 cases of HCW-associated occupational asthma (OA) (median annual incidence =7; IQR interquartile
range=5-11). Modal annual incidence was 20 in 1996.","Yes, but not so much.

Nursing, operating theatre,
endoscopy and radiology staff were implicated in the majority of cases (136; 75%).","NA

This is an abstract, not a full paper"
2022/04/25 2:36:10 AM MDT,Olusola,Chlorhexidine—still an underestimated allergic hazard for health care professionals,Wittczak,2013,Occupational Medicine,Poland,This is a case report of 3 nurses,"Case 1 & 2 worked in a hospital.  For Case 3, it was not stated.",Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,Chlorhexidine-containing disinfectants,No,No,NA,Yes,"Case 1 worked in the internal medicine ward of the hospital for 23 years. After 2 years of
working as a nurse she developed recurrent non-productive
cough and dyspnoea with wheezing

Case 2 worked in paediatric nephrology ward for 10 years. After 8 years of working
as a nurse, she developed recurrent non-productive
cough, dyspnoea with wheezing, rhinorrhoea and paroxysmal
sneezing.

Case 3 worked in cardiology ward for 24 years. 

After 22 years of work, she
developed mild dyspnoea and urticaria, which appeared
periodically during work.",No,,No,NA,Yes,"The article reported that the following tests were performed:

Clinical examination,
routine laboratory tests, chest X-ray (for differential
diagnosis purpose), determinations of total serum IgE,
specific serum IgE to chlorhexidine and natural rubber latex and skin prick tests (SPTs) to common
aeroallergens (dust mites, tree and grass pollens, moulds, feathers; Allergopharma, Germany) and to
0.01, 0.1 and 1% solutions of chlorhexidine. Resting spirometry and methacholine
challenge test were also performed.",No,,No,,No,,No,,,"NA.

This is a case report."
2022/04/25 2:42:12 AM MDT,Olusola,Occupational asthma to quaternary ammonium compounds: Clinical features of 16 positive bronchial challenge tests using didecyl dimethyl ammonium chloride,Renaudin,2012,European Respiratory Journal,NA,"Dentist, Dentist-assistant, Nurses, Auxiliary nurses",NA,Yes,No,No,Yes,"Bronchial challenge tests (BCTs) was performed in
an experimental chamber with didecyl dimethyl ammonium chloride (DDAC) at 0.1%.

A positive BCT was defined as a 20% drop in FEV1 or a change of 2 doubling dose in non-specific BCT to
methacholine.","Not so much but the article stated that,

69% had occupational rhinitis and 19% occupational contact
dermatitis to QACs.",No,,,No,NA,No,No,NA,No,Yes,Quaternary ammonium compounds (QACs) used as detergents or disinfectants.,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is an abstract, not a full paper"
